species	p.val.FR-CRC	p.val.DE-CRC	p.val.CN-CRC	p.val.US-CRC	p.val.AT-CRC	p.val.all	p.adj.FR-CRC	p.adj.DE-CRC	p.adj.CN-CRC	p.adj.US-CRC	p.adj.AT-CRC	p.adj.all	fc.FR-CRC	fc.DE-CRC	fc.CN-CRC	fc.US-CRC	fc.AT-CRC	fc.all	auc.FR-CRC	auc.DE-CRC	auc.CN-CRC	auc.US-CRC	auc.AT-CRC	auc.all	ancom.FR-CRC	ancom.DE-CRC	ancom.CN-CRC	ancom.US-CRC	ancom.AT-CRC	ancom.all	ancom.all-blocked
Eubacterium rectale [ref_mOTU_v2_1416]	0.0034986047500480573	0.03202736219221821	0.013428692491828117	0.5917181368666048	0.4522964183489147	1.5397309753439385e-4	0.11427490114491375	0.1830134982412469	0.16527089853674773	0.8535585667692487	0.6593335112551081	0.0017907282165301422	-0.5869352056670126	-0.3697759512736153	-0.7118343403188124	0.038480835428224953	-0.029501365622032167	-0.3319132054906495	0.3408598824621095	0.3863888888888889	0.3718924403855911	0.5306952662721893	0.4575569358178054	0.4043467702768334	758	0	613	0	0	747	NA
Roseburia intestinalis [ref_mOTU_v2_1427]	0.0018232545444509525	3.4786632702554055e-4	0.008149277847891942	0.3993838081908822	0.35163297604216065	8.70928000522687e-6	0.08516792359719669	0.013282168850066093	0.13212233447007787	0.7410849958394955	0.6027993875008468	1.7169715072354208e-4	-0.7980529733616658	-0.8778734712651668	-0.6544305413641063	0.17610686061789527	-0.19982272423501948	-0.47081456992161264	0.33111660995978964	0.3108333333333333	0.36555048198883816	0.5480769230769231	0.44772256728778465	0.3904079650315687	746	706	588	0	3	778	NA
Blautia hansenii [ref_mOTU_v2_1428]	0.8948780337342309	0.5801961316496812	0.5714887400275094	0.6097772637449324	0.08481033589564133	0.5771414618074101	0.9785549407847045	0.7567775630213233	0.7666803167270461	0.8661688108667418	0.263996083163876	0.7379414172808602	0	0	-0.09116516208088257	0.07640797012723699	0	-0.0029514383907291164	0.5029384472626044	0.5080555555555556	0.48160832064941655	0.520155325443787	0.46825396825396826	0.5002549781447305	1	85	19	0	271	91	NA
Faecalitalea cylindroides [ref_mOTU_v2_1470]	0.8886604924842341	0.8100015587702908	0.20373444277187733	0.35135765850734335	0.6145349451933164	0.33443507918139526	0.9785549407847045	0.9120660983472444	0.5143305888755676	0.6926765267716198	0.8089585606042384	0.5282813192596675	0.009287560734755222	0.003658053612936657	0.13600816082980544	0.14554154701833125	-0.04737114183401891	0.04942483607236193	0.5069594803587999	0.5090277777777777	0.5445205479452054	0.5404955621301775	0.4803312629399586	0.5132952889752307	0	25	47	0	107	60	NA
Clostridium symbiosum [ref_mOTU_v2_1475]	0.004648430492598838	1.322392829480585e-4	5.321490006111161e-5	0.006451757797880883	0.011026408625979566	3.482325539039266e-12	0.12625737015381358	0.007744060517951525	0.004505528205174116	0.25997172895337056	0.07283090424884946	3.284993758493707e-10	0.5093515112454616	0.5534654675859023	0.6845085965254633	0.4091612637212831	0.36223749885725587	0.5037448675870733	0.6399628827714197	0.6872222222222223	0.7042110603754439	0.6544008875739645	0.6278467908902691	0.6652622632345798	592	660	648	623	255	811	NA
Alistipes finegoldii [ref_mOTU_v2_1481]	0.8039580439205779	0.3376949195264674	0.7066729104725678	0.11662194136067253	9.110017522153723e-4	0.05835129407671946	0.9561195946061111	0.570751976664452	0.8643415052650026	0.48223359634889756	0.012925704122324818	0.1738254339338064	0.008298052008479035	-0.2654529899044929	0.07790875831243582	0.36618806237167867	0.6612610517207841	0.16964058690177694	0.5134549953603464	0.4494444444444444	0.5181380010147133	0.5891272189349113	0.6816770186335405	0.5384349198640117	0	0	0	0	592	294	NA
Turicibacter sanguinis [ref_mOTU_v2_1493]	0.33716031849152606	0.020849254124552463	0.8335657691803187	0.4818633788353149	0.29244824455975404	0.014523571372520916	0.6773314530913208	0.14594477887186724	0.9209878989223828	0.8093340628266864	0.5252649598600355	0.061713165636135714	0.11344770995916832	0.18997100251468507	3.726753459693304e-5	0.07220981245668844	0.1485774977922004	0.10484865805146783	0.5428394679863904	0.5869444444444445	0.49340436326737697	0.5325443786982249	0.5536576949620428	0.5321151044196212	6	374	43	0	1	137	NA
Porphyromonas asaccharolytica [ref_mOTU_v2_1517]	0.003239385294438958	2.220664900108508e-5	0.05368175459224211	0.06038408544039014	0.0029230316698281565	2.5564017569479347e-10	0.11427490114491375	0.0020726205734346074	0.3169690689776568	0.41330601389056465	0.031029105418175815	1.5502750654634264e-8	0.14229529722470713	0.3182881438713868	0.0407328984177738	0.20974282122702545	0.11840228436421901	0.16589228902102243	0.5886173832353851	0.6427777777777778	0.5447742262810755	0.5802514792899408	0.5800552104899931	0.5858669256920835	389	546	120	205	197	712	NA
Streptococcus australis [ref_mOTU_v2_1524]	0.04918493012111877	0.31711435387584064	0.20122954473854712	0.25781406784123784	0.49245044218320294	0.04146519309358881	0.3428299050208361	0.5627895492143509	0.5143305888755676	0.6312293957397859	0.6952513364051081	0.13914604322710236	-0.2446055794670385	-0.1187521014852392	-0.1484110401174518	0.14020663264472902	-0.10386302112320314	-0.09508502190964073	0.4008660686668729	0.45444444444444443	0.4397513952308473	0.5569526627218935	0.46514837819185645	0.4592642059252064	195	36	33	0	51	138	NA
Prevotella stercorea [ref_mOTU_v2_1551]	0.6725803815554212	0.7320380042756133	0.040155624542838296	1	0.6299994623213976	0.3718086887583416	0.8969292589040669	0.8560454403507267	0.29157796224514215	1	0.821479613861602	0.5687668049654631	0	0	0.2967773052569745	0	0	0.0593554610513949	0.4885555211877513	0.4925	0.5705225773718924	0.4998150887573965	0.5124223602484472	0.5170713938805246	1	67	173	0	51	72	NA
Alistipes timonensis [ref_mOTU_v2_1593]	0.1464332597766192	0.15103685430795685	0.2669092465523671	0.057065711063488234	0.40744412770329475	0.25020240711908315	0.5384139944625037	0.4253080550822393	0.536635477237213	0.4073311100048988	0.6203471800604198	0.4370819828067934	0.14463947273850375	0.12056329460311463	0.12569893261989498	-0.2529797165443842	0.06495575554355636	0.040575547792137096	0.5613980822765233	0.5586111111111111	0.5395738203957382	0.4031065088757396	0.5263975155279502	0.5210781932977173	30	17	55	1	49	155	NA
Alistipes senegalensis [ref_mOTU_v2_1594]	0.5958251518472768	0.08891149734608057	0.5883104984273577	0.03786234319639965	0.18808852965093442	0.18839998358182325	0.8620013365213179	0.329011708241003	0.7809975606300463	0.37771108634480616	0.4088818611379412	0.3719804326999254	0.10064940863673272	-0.3317768800271467	-0.06261128786416069	-0.35419751947193523	0.19415795279986392	-0.0907556651853292	0.5270646458397773	0.4140277777777778	0.4779299847792998	0.38979289940828404	0.5626293995859214	0.46817629917435655	0	3	21	0	2	90	NA
Senegalimassilia anaerobia [ref_mOTU_v2_1606]	0.8216758707454679	0.4252962312394567	0.09393548895825148	0.9529134863775623	0.8804724699300974	0.2644574331419844	0.964924802186449	0.648364490455796	0.389117530573568	1	0.9416188375899512	0.4486408359262332	-0.039542389692717776	-0.13903961565446607	-0.18815767278565443	-0.0010872494981689041	-0.0873038577938754	-0.09102615708497651	0.4890194865450046	0.4625	0.4424150177574835	0.4970414201183432	0.4927536231884058	0.469669742593492	0	2	46	0	11	109	NA
Bacteroides faecis [ref_mOTU_v2_1706]	0.8718093577665768	0.9041821386422157	0.1356309052785804	0.8668582392968172	0.023817055405259583	0.1136207215242151	0.9750618868316143	0.9868887058482559	0.4253117276636966	0.9941255154262667	0.12402843946889895	0.26754574584444774	-0.038262463919791205	-0.09260924642118154	0	0.15747495973882666	0.3178577494393486	0.0688921997674405	0.5069594803587999	0.5048611111111111	0.5205479452054794	0.5081360946745562	0.60351966873706	0.5174902865468675	0	9	70	0	1	37	NA
Enorma massiliensis [ref_mOTU_v2_1824]	0.7307623364156403	0.22062895555267717	0.9964216647716954	0.4352266735710335	0.07350980977432348	0.1843031569907656	0.9365325529101508	0.4915870627698908	0.9990438270474102	0.7694710598530015	0.25004762722491736	0.36904099123858486	0.07477902488667944	0.1159445825889577	6.012785498601403e-4	0	0.10472754378059262	0.05921048596121798	0.5153108567893597	0.5394444444444445	0.5002536783358701	0.4818786982248521	0.5548654244306419	0.5163550267119962	0	25	29	0	35	92	NA
Alistipes obesi [ref_mOTU_v2_1825]	0.9339553116598015	0.03142544739010576	0.921926364929385	0.04624001148132809	0.012264406434265521	0.4696861439298372	0.9859242568133512	0.1830134982412469	0.9636596571689866	0.3867230863110441	0.07872037618272754	0.6475623813475294	-0.09114272022887283	-0.4144342411553829	0.009322574200483396	-0.4513317080634433	0.5464272309190947	-0.08023177286562419	0.5046396535725333	0.3863888888888889	0.49530695078640286	0.3868343195266272	0.6392339544513458	0.47189776590577953	0	2	1	0	410	52	NA
Blautia producta [ref_mOTU_v2_1889]	0.9821469477661805	0.9889116954259901	0.07248421391881867	0.02397386028383052	0.19213107090121506	0.29787483011581095	0.9995987372429472	1	0.380917041421654	0.3265746068832937	0.4121360795497567	0.49105967139480294	-0.012828774745998044	0	0.16337373094074886	0.18741964929930088	-0.12039247526139218	0.043514426046531905	0.4990720692854933	0.5004166666666666	0.5593607305936074	0.5902366863905326	0.4503105590062112	0.51930548810102	0	88	63	305	155	157	NA
Parabacteroides gordonii [ref_mOTU_v2_2090]	0.1869507455755538	0.37561469535753284	0.304560107055287	0.030635860461706802	NA	0.08432408102325017	0.5786377013419011	0.6115303830369005	0.5801870039403217	0.34904102937392395	NA	0.22233274779111614	-0.04357071900188876	0.03843252895364526	0.104245079560529	0.09828355364751964	0	0.03947808863196103	0.4630374265388184	0.5236111111111111	0.54337899543379	0.5658284023668639	0.5	0.5276711996114618	3	54	37	188	NA	176	NA
Porphyromonas somerae [ref_mOTU_v2_2101]	0.0016991025460376629	0.00453011704122461	0.051568987898613014	0.38939220410820385	1.3275906427206537e-6	8.20554735270207e-11	0.08516792359719669	0.05885980617947157	0.3166628553928066	0.7327653295490746	1.3740563152158766e-4	5.358853617264659e-9	0.12194897067712314	0.15600038215818535	0	0	0.3519990145033721	0.12598967346773612	0.5876894525208785	0.5838888888888889	0.5342465753424658	0.5199704142011835	0.6630434782608695	0.5731301602719767	406	362	113	3	507	694	NA
Porphyromonas uenonis [ref_mOTU_v2_2102]	0.0664761822195037	0.004273481246641023	0.08315609826357168	0.023123891283771385	5.965287973839932e-4	2.281686728444754e-8	0.37819557722177105	0.05697974995521364	0.38191355389355774	0.3265746068832937	0.009859102389205525	7.748608129798384e-7	0	0.14138055870450916	0	0.12967238499527298	0.17693499925161463	0.08959758859027936	0.5388184348901949	0.5758333333333333	0.5273972602739726	0.5691568047337279	0.601104209799862	0.5586449732880039	22	320	73	261	318	588	NA
Faecalicoccus pleomorphus [ref_mOTU_v2_2178]	0.5228641536069196	0.04687553560609537	0.18961322760892085	0.4307283289764509	6.222494781268779e-7	8.94266060413873e-5	0.8322336811664014	0.23437767803047685	0.5123591469432541	0.7652693519713973	8.587042798150915e-5	0.0011680490542944279	0.07042952484154599	0.04989377112994517	0.05991393050449295	0	0.535136949037098	0.14307483510261643	0.522734302505413	0.5505555555555556	0.534753932014206	0.47910502958579887	0.7001380262249828	0.5508499271491014	8	71	63	0	597	493	NA
Ruminococcus bicirculans [ref_mOTU_v2_2358]	0.0011854447503057588	0.64588655659226335	0.004371880600904185	0.06870019441249405	0.5089438104852866	0.03885264729681297	0.08516792359719669	0.8097682202052258	0.09219982205434361	0.4271822445097552	0.7078334654444469	0.13194359021997684	-0.8583555814838488	-0.23944767968314853	-0.7840891053807624	0.4994748857412039	0.20636420641704267	-0.23521065487790263	0.324930405196412	0.47555555555555556	0.3541349568746829	0.6035502958579881	0.5370945479641133	0.4489254492472074	770	0	633	0	0	82	NA
Butyricicoccus pullicaecorum [ref_mOTU_v2_2510]	0.8524291570768658	NA	0.434461156195934	0.21687999743108496	2.1742285366324588e-4	0.014833406203958788	0.9750618868316143	NA	0.6634456934294624	0.5664878166338749	0.0058072942849408905	0.0623443656790149	0	0	0	0	0.1626918382279883	0.03253836764559766	0.5046396535725333	0.5	0.48617453069507865	0.5306952662721893	0.6131815044858523	0.5215274405050996	1	NA	36	0	345	199	NA
cand. Alistipes marseilloanorexicus [ref_mOTU_v2_2553]	0.06216273626647145	0.5901172739152992	0.20655605950790284	0.9286950800650731	0.007410598037737832	0.017360572443760214	0.36920559643401757	0.7637881511384459	0.5143305888755676	1	0.057345562385485285	0.06887442058295523	0.3491346621733384	-0.13170834467907225	0.2021903284618658	0.03508573496105665	0.5473269441370601	0.20040586501084973	0.5975873801422826	0.4722222222222222	0.5502283105022832	0.5051775147928994	0.6428571428571429	0.5471648858669257	23	0	54	0	464	412	NA
Holdemania massiliensis [ref_mOTU_v2_2557]	0.29315922466355215	0.9309724438050548	0.4623053928962013	0.5197598182715931	0.5797137969239776	0.17530583464024208	0.6428126749133097	0.9974704755054159	0.6842343920645612	0.8405490811110921	0.7767039220923195	0.35691763455531306	0.13649596533348018	0.014344159650386941	0.1028098118576169	0.09003214910107286	0.06285699401627204	0.08130781599176579	0.5450046396535725	0.4961111111111111	0.5343734145104008	0.5336538461538461	0.5262249827467218	0.5317690626517727	10	21	21	0	28	178	NA
Megasphaera massiliensis [ref_mOTU_v2_2684]	0.8948780337342309	0.32544340964831414	0.3985878333754907	0.8518920100026071	0.22982032120192036	0.9057674669078362	0.9785549407847045	0.5627895492143509	0.6418633524735059	0.9796758115029981	0.455242167356914	0.9505520140973459	0	0	0	-0.004412847169279973	0	-8.825694338559946e-4	0.5029384472626044	0.5083333333333333	0.5068493150684932	0.4937130177514793	0.48412698412698413	0.49885866925692085	1	NA	NA	0	182	121	NA
Clostridiales bacterium VE202-09 [ref_mOTU_v2_2688]	0.3006444690013154	0.5669797564757733	0.42600053126849724	0.7139066158877003	0.431331645357783	0.8822028836796669	0.6490836997413014	0.7535806889867872	0.6551043670860893	0.9042232183135719	0.6411895913038498	0.9393983427158961	0	0	0	0	0	0	0.5219610269099907	0.5083333333333333	0.4859208523592085	0.5103550295857988	0.4810213940648723	0.5005767362797474	12	86	36	0	138	161	NA
Clostridiales bacterium VE202-14 [ref_mOTU_v2_2689]	0.95779160709513	0.015905573353631422	0.15970938188828923	0.45686387619100344	0.5868997232378954	0.1552700449886668	0.9911818877920351	0.12604416619858863	0.4680713423033707	0.7926783208025194	0.783795114259641	0.33205105338886176	-0.041542869681494954	0.25079783266370226	0.24651437128387693	0.12515784622540446	-0.13964905279527431	0.08825562553924288	0.4973708629755645	0.5994444444444444	0.5603754439370877	0.5369822485207101	0.47118702553485164	0.5288853812530355	0	392	18	0	19	54	NA
Bacteroides stercorirosoris [ref_mOTU_v2_2726]	0.5326487832122602	0.9798023807192119	0.41221906542767656	0.8967383534607822	0.40320141860749853	0.49195650052203665	0.8430268335803065	1	0.6455478966141065	1	0.6203471800604198	0.6714968954070887	0	0	0	-1.9797746091028003e-4	0	-3.9595492182056005e-5	0.486699659758738	0.5005555555555555	0.4830035514967022	0.4944526627218935	0.49206349206349204	0.49237493929091797	3	86	38	0	NA	104	NA
Eubacterium ramulus [ref_mOTU_v2_2795]	0.16286580504512582	0.8723698429769551	0.09299462153408147	0.9415493381294343	0.67733879065458	0.23760697709332423	0.5581288164511922	0.9589878338826046	0.389117530573568	1	0.852335134744669	0.4229105315560425	-0.3408037037341616	-0.11749532615036717	-0.2979583685844362	0.02099560258582865	0.13667247520108483	-0.11971786413641029	0.424373646767708	0.49138888888888893	0.4208523592085236	0.5042529585798816	0.523464458247067	0.45550631374453615	0	0	13	0	0	78	NA
Phascolarctobacterium sp. [ref_mOTU_v2_2805]	0.036288192807292376	0.6362263345339974	0.09470295138965446	0.037367959693149946	0.055306728446259036	0.03870135266596053	0.2995554739582371	0.8040890234157156	0.389117530573568	0.3773252515357092	0.2100640878601031	0.13194359021997684	0.5463627413215332	0.14316045140200384	0.38801438891804685	0.6158978249005997	-0.23414736479429069	0.2918576083495786	0.6040828951438292	0.5231944444444444	0.586884830035515	0.6161242603550297	0.42167011732229126	0.5685891209324915	22	0	6	0	382	750	NA
Phascolarctobacterium sp. [ref_mOTU_v2_2806]	0.2238859149184634	0.046234629434034495	0.1575877947852502	0.9794157971022688	0.589285894896753	0.3765283511367664	0.6209822664566295	0.23255741751250883	0.465433719482018	1	0.785714526529004	0.5718650628177365	0.2742493853463659	-0.21746665026891096	-0.20076759169843097	-0.019865797571939375	0	-0.032770130838583086	0.5480977420352613	0.4313888888888889	0.45636732623033993	0.5014792899408284	0.48533471359558317	0.4849137931034483	4	215	23	0	149	46	NA
Clostridium paraputrificum [ref_mOTU_v2_2890]	0.20927468452853232	0.6001758655540871	0.3109837931924312	0.8356281686923483	0.4272086007688616	0.16295097459375119	0.6183564979566162	0.7720485866239405	0.5836690896862872	0.9649931989920005	0.6396541074803208	0.3441427299256089	0.10107414314093513	0.007101081071780084	0	-0.0024352651594201245	0.05688353154313073	0.03252469811928516	0.5391277451283637	0.5165277777777778	0.5178843226788432	0.492603550295858	0.5269151138716357	0.5159543467702769	0	47	55	0	41	126	NA
Dorea longicatena [ref_mOTU_v2_2893]	0.32931777573586624	0.9705420228335953	0.6653300804165708	0.5515514349601132	0.529311998751442	0.2699095607153867	0.6734299177075749	1	0.835999305920361	0.8450785763890105	0.7292351663331015	0.45557299611801844	-0.29809581810301244	-0.0033293762911288903	-0.14081241460742983	-0.1655085652047943	-0.09836674108224146	-0.14122258305772137	0.4469532941540365	0.5020833333333333	0.4774226281075596	0.46597633136094674	0.4644582470669427	0.4740650801359883	0	0	0	0	1	38	NA
Intestinimonas butyriciproducens [ref_mOTU_v2_2968]	0.012175651972427277	0.24836754301311098	0.1889889105390704	0.6506790187644105	4.3269080877465663e-4	4.577811198758219e-5	0.2082216648055016	0.529114943555358	0.5123591469432541	0.8916272359245699	0.008331813713149202	6.818529311834611e-4	0.34122770242802125	0.21031072012443786	0.14444638231479848	0.07473497650783129	0.5294868995210832	0.2600413361792344	0.6314568512217754	0.56	0.5649416539827499	0.525887573964497	0.6849551414768806	0.5961024769305489	185	537	49	0	512	695	NA
Adlercreutzia equolifaciens [ref_mOTU_v2_3198]	0.7864200821308885	0.24762134733309565	0.6582734571371003	0.06473106189429452	0.3322524778714691	0.04887346428197502	0.9554270656299	0.529114943555358	0.8346162634583534	0.42257214797612486	0.5791685298475293	0.1531128087653018	-0.027629352578424204	-0.17466428810814824	-0.06975861371488085	-0.309170490892859	-0.14924159152533686	-0.14609286736392982	0.48530776368697803	0.4388888888888889	0.4779299847792998	0.39497041420118345	0.4453071083505866	0.4370203982515784	0	2	11	12	4	466	NA
Mitsuokella jalaludinii [ref_mOTU_v2_3339]	0.6774960349320391	0.7613932273863797	0.1202621076767604	0.31027494655717786	0.7559656581906	0.5505386030238175	0.8977969692824007	0.8773255294987092	0.4146593938900065	0.6681890605510854	0.8847046669870433	0.7190881137957248	0.10420437388428606	0	0	0	0	0.020840874776857213	0.5165480977420353	0.5066666666666666	0.46790969051243025	0.4805843195266272	0.5058661145617668	0.492690626517727	0	56	41	0	94	110	NA
Clostridium sp. JCC [ref_mOTU_v2_3353]	0.24578542873302442	0.9201311990412403	0.5394085970580373	0.4279468772063042	0.13499649323148546	0.16697640106143408	0.6257456345281434	0.9947364313959355	0.7419302363866868	0.7636638239802153	0.3413188506786782	0.34760208318602315	0.19241228497508392	-0.010618159428321542	-0.08121056091163124	0.0961569128384058	0.25876075114708813	0.091100245724125	0.5583049798948345	0.49527777777777776	0.47425164890918314	0.5384615384615384	0.5783298826777087	0.5204589606605148	5	4	22	0	0	72	NA
Alistipes inops [ref_mOTU_v2_3597]	0.05109867138795396	0.6688419745048126	0.8737036207130496	0.6582671389083253	0.1856789320056232	0.2832541728464377	0.34979740901347345	0.8213848809708225	0.9350592120552582	0.8927847365369257	0.40780412652693904	0.47432503500320633	0.39117997653347436	-0.11294645159779838	0	-0.12167862674274037	0.18054125966619053	0.06741923157182522	0.5932570368079183	0.4786111111111111	0.4961948249619482	0.47670118343195267	0.5634920634920635	0.5118807673627974	50	0	23	0	1	45	NA
bacterium OL-1 [ref_mOTU_v2_3607]	0.6013646189522499	0.3812910405339889	0.9917213954053908	0.023138545672448323	0.30186288742281664	0.7207816254768853	0.8657595493052849	0.6159316808625974	0.9956412428180603	0.3265746068832937	0.5375106898625639	0.8382789041505145	0	0.03551376564647204	0.014024227886814893	0	0	0.009907598706657385	0.5134549953603464	0.5233333333333333	0.5005073566717402	0.4519230769230769	0.4787784679089027	0.5005463817387081	1	53	20	15	183	146	NA
bacterium LF-3 [ref_mOTU_v2_3608]	0.026853448222091764	0.0903551682415269	2.0542707051476517e-4	0.17394454278846472	0.2953343382947688	8.898321121125855e-6	0.28159307072631173	0.32945972083219904	0.011746760058575091	0.5075605378035714	0.52930050239841675	1.7169715072354208e-4	-0.48649718427651567	-0.3291889685760804	-0.7482784171493289	-0.3485766476590766	-0.17002105003388834	-0.416512453538978	0.3795236622332199	0.4102777777777778	0.3072044647387113	0.42270710059171596	0.4409937888198758	0.39564108790675084	581	0	654	0	3	752	NA
Oscillibacter sp. ER4 [ref_mOTU_v2_3624]	0.9184570605662127	0.35523070714909116	0.6724487438225644	0.4681846568767658	0.13506812116513964	0.7784434650222586	0.9837083029867322	0.5920511785818187	0.8413890686252776	0.7992925688535301	0.3413188506786782	0.8760443976260964	-0.022093321149204443	-0.23565896726015023	-0.22879183051130295	-0.29383100449711674	0.367810979551757	-0.08251282877320347	0.5057222394061243	0.4509722222222222	0.4780568239472349	0.45857988165680474	0.5835058661145618	0.49408693540553666	0	0	0	0	0	9	NA
Ruminococcus champanellensis [ref_mOTU_v2_3773]	0.1808284756723072	0.05339136648398193	0.3985878333754907	0.17383543758523437	0.4799861688126644	0.016493203991067712	0.5786377013419011	0.24964217011738032	0.6418633524735059	0.5075605378035714	0.6852216340980796	0.0673208182135408	-0.1048481841059601	-0.0056783448761562275	0	-0.10183266437499967	0	-0.0424718386714232	0.4596350139189607	0.4583333333333333	0.5068493150684932	0.46024408284023666	0.4868875086266391	0.47399222923749396	2	232	NA	0	154	345	NA
butyrate-producing bacterium SS3/4 [ref_mOTU_v2_3825]	0.12314035133449809	0.13529355053551603	0.11534338137380837	0.45826834591271287	0.008998250839138569	0.11376208981136117	0.5053557335803132	0.4128730982662976	0.4146593938900065	0.7926783208025194	0.06422889392074772	0.26754574584444774	-0.2796412140262844	-0.21623932462741588	-0.28458784712874857	-0.2613938777225286	0.4176977323658061	-0.12483290622783427	0.41602227033714817	0.42083333333333334	0.41806189751395234	0.457655325443787	0.6459627329192547	0.4751578436134046	4	0	405	0	426	58	NA
Blautia producta [ref_mOTU_v2_4020]	0.08876390373643185	0.3276239161497828	0.7333309293243815	0.3800228404776074	0.7286965872219662	0.3205654887715098	0.4412926667288886	0.5627895492143509	0.8855755438116937	0.7251691066512173	0.8790809361710797	0.5154547347860072	-0.1964435953861126	0	-0.04249832265579658	0.1256024836614392	-0.05099098603337269	-0.03286608408276854	0.43489019486545005	0.48374999999999996	0.4875697615423643	0.5414201183431953	0.48429951690821255	0.4828071879553181	70	120	26	0	38	122	NA
Pyramidobacter piscolens [ref_mOTU_v2_4064]	0.9709241512285361	0.023427832950868914	0.8496778122604135	0.3010624501829295	0.2494409579748128	0.06598957674633144	0.9983601319800882	0.1513798436825376	0.9209878989223828	0.6681890605510854	0.4630876977648991	0.18800386126723284	0	0	0.016535954693035614	0	0	0.003307190938607123	0.4989174141664089	0.5416666666666666	0.5059614408929478	0.5197855029585798	0.5108695652173912	0.5187408936376882	7	124	31	3	NA	232	NA
Blautia obeum [ref_mOTU_v2_4202]	0.21655332909334007	0.3173755087291203	0.9358399808109402	0.9454778838161522	0.39887969214526153	0.6565281922916884	0.6209822664566295	0.5627895492143509	0.9693815406642569	1	0.6203471800604198	0.7923837818549889	-0.13711725442124528	0.08744714109974451	-0.0689508905450959	-0.07999609241477336	-0.11941453624232569	-0.06360632650473914	0.4325703680791834	0.5530555555555555	0.495687468290208	0.5040680473372781	0.4523809523809524	0.47609883438562406	0	707	5	0	1	50	NA
Dorea longicatena [ref_mOTU_v2_4203]	0.6206389195899957	0.24667972833485058	0.7529969751419153	0.3849722087820627	0.6321828091437942	0.9124479658472366	0.8797608927521489	0.529114943555358	0.8877561370800102	0.7294210271660134	0.8230304496400339	0.9540250283304236	0.010884796666392867	-0.3052458479741682	-0.0997065046557679	0.17280901727508002	0.10279369663436193	-0.023692968410820258	0.4729353541602227	0.4386111111111111	0.4841451040081177	0.5493713017751479	0.5270876466528641	0.4779747450218552	0	0	0	0	0	16	NA
Eubacterium ventriosum [ref_mOTU_v2_4204]	0.012709760876204982	0.0937994405472344	7.628591852429094e-4	0.7888745233577373	0.74244443152014	1.4305786056732496e-4	0.2082216648055016	0.32967167388986146	0.032294372175283165	0.9306635611313554	0.8842122318754828	0.0016868906058563735	-0.5515635753917818	-0.46973576604871	-0.769267709803196	-0.05809859691907066	0.09212867943222719	-0.35130739374610626	0.36498608103928243	0.4119444444444444	0.3277524099441908	0.48502218934911245	0.5184610075914423	0.41485551238465274	634	0	644	0	0	662	NA
Desulfovibrio piger [ref_mOTU_v2_4205]	0.011879686200336654	0.18533485633409655	0.20412565328677007	0.0946737376527712	0.7011700749116174	0.518915033241	0.2082216648055016	0.44102345416612204	0.5143305888755676	0.45870172570216783	0.8608970867800506	0.6948877968795094	0.5411871885589534	-0.39091998102037645	-0.25236396151200546	0.4270266712530616	-0.03555545198792848	0.057874893058340926	0.6186204763377668	0.4486111111111111	0.4454591577879249	0.5828402366863905	0.48654244306418215	0.5178848955803789	582	135	4	0	79	44	NA
Eubacterium hallii [ref_mOTU_v2_4207]	7.04175120835546e-4	0.17989649758257595	0.04182173362679112	0.9766004069787267	0.17609853510993956	4.097574212182037e-4	0.08516792359719669	0.4380088636793154	0.2978332805945311	1	0.3999606753470257	0.003908809557463539	-0.7103853582747341	-0.13729482481205996	-0.4008078584458684	-0.04688572155747271	-0.20582639672706335	-0.30024003196343974	0.31549644293226103	0.42888888888888893	0.39485032978183665	0.4981508875739645	0.42374051069703245	0.3998421563865954	778	0	493	0	2	751	NA
Ruminococcus callidus [ref_mOTU_v2_4209]	0.7775404091243548	0.08062495321921848	0.09567291592321588	0.554668290854343	0.04138871590244435	0.014585998334080823	0.952790858196456	0.3131977458786049	0.389117530573568	0.8450785763890105	0.17417041595122507	0.061713165636135714	0.062497958459942965	-0.32963799809781386	-0.29993209242131347	-0.11616476631903418	-0.3781670604618809	-0.2122807917680199	0.5128363748840087	0.4211111111111111	0.43163368848300354	0.47263313609467456	0.4075224292615597	0.4484701311316173	0	37	14	0	494	97	NA
Coprococcus eutactus [ref_mOTU_v2_4210]	0.9734604137240528	5.56113116668991e-4	0.3982815731529737	0.39342594507838063	0.15254172310234326	0.32641569703130063	0.9983601319800882	0.0186854007200781	0.6418633524735059	0.7370060690608579	0.3629440997952305	0.5189642823587532	0	-0.6249604677664818	-0.07777524940870606	0.10695728937381792	0.16245346152641563	-0.08666499325499087	0.4989174141664089	0.36819444444444444	0.4784373414510401	0.5390162721893491	0.5555555555555556	0.4810223409422049	1	717	34	0	2	79	NA
Faecalibacterium prausnitzii [ref_mOTU_v2_4211]	0.7140201101874188	0.00145595829694487	0.14796946805064917	0.7574663227384363	0.08516609731990758	0.26185114859125386	0.929219370599392	0.028179929427712157	0.44654340140726556	0.9216498399584505	0.2641105939358932	0.4468373793705886	0.023159211834391003	-0.5311740857209382	-0.405268816110004	-0.014115433083967103	0.37921438331621277	-0.1096369479528611	0.5201051654809774	0.3313888888888889	0.4251648909183156	0.5177514792899408	0.5969634230503796	0.4688623118018455	0	3	1	0	0	25	NA
